ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:12:16.545893908,Cxo4fU7IMqy8d8qh,192.168.28.229,43446,216.58.196.35,443,udp,quic,0 days 00:00:00.534896999,51418,5087,SF,T,F,0,Dd,47,52734,32,5983,
2024-12-16 10:11:56.693311930,CfG6Q94SsUfDZGpzqg,192.168.28.229,59637,172.217.174.170,443,udp,quic,0 days 00:00:22.210098,13982,17569,SF,T,F,0,Dd,38,15046,44,18801,
2024-12-16 10:12:24.762537956,CIoNxW2BviWNsGuGc7,192.168.28.229,36276,216.58.221.202,443,udp,quic,0 days 00:00:00.090972,4978,10891,SF,T,F,0,Dd,11,5286,15,11311,
2024-12-16 10:13:51.500356912,CimhsU1F1c0JR5HE03,192.168.28.229,35402,140.82.114.26,443,tcp,ssl,0 days 00:00:01.173340,3004,4267,SF,T,F,2848,ShADacgdfF,11,3584,10,1947,
2024-12-16 10:12:58.679313898,CMgct64Tn9jWtbXzt7,192.168.28.229,43780,216.58.200.3,443,udp,quic,0 days 00:00:00.097516,5223,5223,SF,T,F,0,Dd,8,5447,9,5475,
2024-12-16 10:12:48.677326918,CroaVd1s1ult3LFKke,192.168.28.229,37624,216.58.200.3,443,udp,quic,0 days 00:00:11.072521,5623,6797,SF,T,F,0,Dd,23,6267,28,7581,
2024-12-16 10:13:51.451045990,CCBJD94CfqYRIV8Cye,192.168.28.229,48198,192.168.28.1,53,udp,dns,0 days 00:00:00.039151,34,69,SF,T,T,0,Dd,1,62,1,97,
2024-12-16 10:13:51.451342106,CVF8BNMWCXW4lTIC8,192.168.28.229,47596,192.168.28.1,53,udp,dns,0 days 00:00:00.064844,34,69,SF,T,T,0,Dd,1,62,1,97,
2024-12-16 10:13:51.516886949,CX7JnO1prnXdalNPV1,192.168.28.229,52930,192.168.28.1,53,udp,dns,0 days 00:00:00.005731,33,33,SF,T,T,0,Dd,1,61,1,61,
2024-12-16 10:13:56.116422892,CbgkGT1Ka2Y7gWUZM4,192.168.28.229,35412,140.82.114.26,443,tcp,ssl,0 days 00:00:01.265241,3087,4267,SF,T,F,2848,ShADacgdfF,11,3667,10,1947,
2024-12-16 10:13:52.677812099,CTraE72laA7fyHmUA4,192.168.28.229,39564,192.168.28.1,53,udp,dns,0 days 00:00:00.036592,33,63,SF,T,T,0,Dd,1,61,1,91,
2024-12-16 10:13:52.678101063,CJVwj54Szty4Z4lOGc,192.168.28.229,49121,192.168.28.1,53,udp,dns,0 days 00:00:00.064428,33,63,SF,T,T,0,Dd,1,61,1,91,
2024-12-16 10:13:52.743127108,CHWmmt4IWBpzUWAyZ1,192.168.28.229,53037,192.168.28.1,53,udp,dns,0 days 00:00:00.005783,28,28,SF,T,T,0,Dd,1,56,1,56,
2024-12-16 10:13:57.385324001,CZxPQk1TNNRfTlTXHl,192.168.28.229,54268,192.168.28.1,53,udp,dns,0 days 00:00:00.005386,28,28,SF,T,T,0,Dd,1,56,1,56,
2024-12-16 10:13:21.813107967,Cc9rmkWo2tgamDHWa,192.168.28.229,43629,142.251.223.78,443,udp,quic,0 days 00:00:00.134991,4780,4558,SF,T,F,0,Dd,9,5032,11,4866,
2024-12-16 10:13:05.921230078,C7q8fAloeRHRADf3f,192.168.28.229,54260,142.251.43.131,443,udp,quic,0 days 00:00:17.842670,5596,4739,SF,T,F,0,Dd,12,5932,16,5187,
2024-12-16 10:13:29.680411100,C6gm8D2dgSYyqrc85j,192.168.28.229,52074,216.58.200.3,443,udp,quic,0 days 00:00:00.079564,4844,4656,SF,T,F,0,Dd,10,5124,14,5048,
2024-12-16 10:13:52.723898888,CGXsSi13BuxtXNzjcb,192.168.28.229,46788,20.205.243.166,443,tcp,ssl,0 days 00:00:35.278078,6966,24220,SF,T,F,22598,ShADacgdfF,22,8130,16,2462,
2024-12-16 10:13:43.823967934,CVr5GKSiuHYF1PF0e,192.168.28.229,55838,91.189.91.157,123,udp,ntp,0 days 00:00:00.260976,48,48,SF,T,F,0,Dd,1,76,1,76,
2024-12-16 10:13:43.107335091,C9kunC1iaZN7df1zO5,192.168.28.229,55642,239.255.255.250,1900,udp,,0 days 00:00:03.002637,692,0,S0,T,F,0,D,4,804,0,0,
2024-12-16 10:14:36.328627110,CCZh1bY9DHGZzNuMd,192.168.28.229,48373,192.168.28.1,53,udp,dns,0 days 00:00:00.014796,35,171,SF,T,T,0,Dd,1,63,1,199,
