ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:08:16.129595994,CneMW02hoxP1oFP7a4,192.168.28.229,5353,224.0.0.251,5353,udp,dns,,,,S0,T,F,0,D,1,197,0,0,
2024-12-16 10:07:39.001014947,CdrISI15q6TCzzmB7c,192.168.28.11,61949,255.255.255.255,8610,udp,,0 days 00:00:00.000020,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:08:29.691651106,CdZIzA40Z3rN3eC6M9,192.168.28.36,5353,224.0.0.251,5353,udp,dns,,,,S0,T,F,0,D,1,73,0,0,
2024-12-16 10:08:29.691721916,C0LKc14p1fzh57HC5c,fe80::884:7f69:9c28:a913,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,93,0,0,
2024-12-16 10:07:43.095566034,CssBafMkJnZ9JRTX8,192.168.28.208,55824,255.255.255.255,8610,udp,,0 days 00:00:00.000021,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:07:43.103848934,Cuz6fo4K1SxAmnODh3,192.168.28.229,47101,239.255.255.250,1900,udp,,0 days 00:00:03.002394,692,0,S0,T,F,0,D,4,804,0,0,
2024-12-16 10:08:10.847006083,CnGmJA179kFu6JQQ9l,192.168.28.11,49685,255.255.255.255,8610,udp,,0 days 00:00:00.000041,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:08:13.613591909,C9VkgA21sMCG0FhBQ,192.168.28.1,5678,255.255.255.255,5678,udp,,,,,S0,T,T,0,D,1,155,0,0,
2024-12-16 10:08:14.738533020,CFj6ztA8FU6V7ThYc,192.168.28.208,56992,255.255.255.255,8610,udp,,0 days 00:00:00.000055,32,0,S0,T,T,0,D,2,88,0,0,
2024-12-16 10:09:15.054742098,CrF0Hm436ZQtKYpKj,192.168.28.38,5353,224.0.0.251,5353,udp,dns,,,,S0,T,F,0,D,1,85,0,0,
2024-12-16 10:09:15.054817915,CXPcKdCUdWWYsv3oa,fe80::104e:5fb6:9e41:e663,5353,ff02::fb,5353,udp,dns,,,,S0,T,F,0,D,1,105,0,0,
