ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents
2024-12-16 10:07:21.855586052,CJCAQA1QYRDnNcQPS4,192.168.28.229,33760,192.168.28.1,53,udp,dns,0 days 00:00:00.005731,42,42,SF,T,T,0,Dd,1,70,1,70,
2024-12-16 10:07:21.855679035,Cj54CV3uCOAXSJf3Z6,192.168.28.229,35129,192.168.28.1,53,udp,dns,0 days 00:00:00.005642,50,50,SF,T,T,0,Dd,1,78,1,78,
2024-12-16 10:07:21.855794907,CUBwpi2ir19DAknjc9,192.168.28.229,57701,192.168.28.1,53,udp,dns,0 days 00:00:00.005517,50,50,SF,T,T,0,Dd,1,78,1,78,
2024-12-16 10:07:21.855894089,C7KLYj2pZGV4f2vHhk,192.168.28.229,49552,192.168.28.1,53,udp,dns,0 days 00:00:00.005421,55,55,SF,T,T,0,Dd,1,83,1,83,
2024-12-16 10:07:21.952507973,CtRKKM1cbfoP3Nljlc,192.168.28.229,35674,192.168.28.1,53,udp,dns,0 days 00:00:00.004078,44,44,SF,T,T,0,Dd,1,72,1,72,
2024-12-16 10:07:24.121185064,CGekUC4NOc2vn4r9Mj,192.168.28.229,45220,192.168.28.1,53,udp,dns,0 days 00:00:00.004525,49,49,SF,T,T,0,Dd,1,77,1,77,
2024-12-16 10:07:24.121328115,CvvkqL2Yw7AK4Zfnm1,192.168.28.229,36951,192.168.28.1,53,udp,dns,0 days 00:00:00.004732,55,55,SF,T,T,0,Dd,1,83,1,83,
2024-12-16 10:07:24.121484041,CXzDVh4RMPaNOLMd9,192.168.28.229,39714,192.168.28.1,53,udp,dns,0 days 00:00:00.004246,48,48,SF,T,T,0,Dd,1,76,1,76,
2024-12-16 10:07:24.121606112,C2mn3m2cc2X48ZP51,192.168.28.229,42569,192.168.28.1,53,udp,dns,0 days 00:00:00.004122,42,42,SF,T,T,0,Dd,1,70,1,70,
2024-12-16 10:07:24.121711969,CA7iK12iwyeC3Stu1l,192.168.28.229,33227,192.168.28.1,53,udp,dns,0 days 00:00:00.007227,50,50,SF,T,T,0,Dd,1,78,1,78,
2024-12-16 10:07:24.121861935,Ca5ggi3gTrSwEa2kj2,192.168.28.229,42440,192.168.28.1,53,udp,dns,0 days 00:00:00.003888,50,50,SF,T,T,0,Dd,1,78,1,78,
2024-12-16 10:07:24.232846975,CcXXh01gOhcJVg46qh,192.168.28.229,35483,192.168.28.1,53,udp,dns,0 days 00:00:00.004199,44,44,SF,T,T,0,Dd,1,72,1,72,
2024-12-16 10:07:24.415749073,C6aOOY12XVlLeOGMZe,192.168.28.229,59222,192.168.28.1,53,udp,dns,0 days 00:00:00.006432,45,45,SF,T,T,0,Dd,1,73,1,73,
2024-12-16 10:07:24.422558069,Cn8wOC2v763EGhuUg9,192.168.28.229,53714,192.168.28.1,53,udp,dns,0 days 00:00:00.004983,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:24.427926064,CUktsT1zyRVih5muHi,192.168.28.229,34920,192.168.28.1,53,udp,dns,0 days 00:00:00.005949,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:24.434223890,CGNCds3xdiG89Gjxt5,192.168.28.229,53900,192.168.28.1,53,udp,dns,0 days 00:00:00.006371,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:24.440922976,Ca3DYr4KJ8VNby1a53,192.168.28.229,50505,192.168.28.1,53,udp,dns,0 days 00:00:00.005462,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:24.446717024,ClqWG1167EelZa8bSc,192.168.28.229,44981,192.168.28.1,53,udp,dns,0 days 00:00:00.005017,40,40,SF,T,T,0,Dd,1,68,1,68,
2024-12-16 10:07:24.452142000,CdpGca3nJCQFuBpRl2,192.168.28.229,41480,192.168.28.1,53,udp,dns,0 days 00:00:00.005744,40,40,SF,T,T,0,Dd,1,68,1,68,
2024-12-16 10:07:24.458225012,CI5munKODnpksVqkf,192.168.28.229,56475,192.168.28.1,53,udp,dns,0 days 00:00:00.005697,41,41,SF,T,T,0,Dd,1,69,1,69,
2024-12-16 10:07:24.464426994,CJseRw3ykO4eH7C0m9,192.168.28.229,57649,192.168.28.1,53,udp,dns,0 days 00:00:00.008021,90,90,SF,T,T,0,Dd,1,118,1,118,
2024-12-16 10:07:24.473079920,CdD30G2kfcR7pniJU5,192.168.28.229,45915,192.168.28.1,53,udp,dns,0 days 00:00:00.007551,90,90,SF,T,T,0,Dd,1,118,1,118,
